ST	YR	doy	T	TMMXI	TMMNI	RH	RAINI	WNI	GR
42	2002	289	4.4	6.4	1.5	74.7	0	0.6	2.3
42	2002	290	3	6.6	-0.5	73.2	0.1	0.7	5.8
42	2002	291	1.6	5.2	-0.5	75.2	0	0.9	5.8
42	2002	292	0.9	4.4	-1.9	87.4	14.1	1	3.6
42	2002	293	2.3	6.3	0.3	95.7	7.1	0.5	6.5
42	2002	294	3.5	6.1	1.3	88.2	1.4	1	4.8
42	2002	295	4.8	7.1	2.6	63.1	0.5	3.3	1.2
42	2002	296	7.6	9.6	5.3	88.2	8.2	5.5	1.1
42	2002	297	5.7	7.3	2.3	76.1	4	5.5	3.6
42	2002	298	7.3	10.4	3.6	98.6	21.5	2.3	0.8
42	2002	299	7.2	8.4	5.3	81	7	7.3	2
42	2002	300	5.9	7.8	4.6	86.1	1.5	2.3	1.2
42	2002	301	6.5	8.3	3.7	81.7	8.2	5.8	3.7
42	2002	302	5.9	8.5	3.7	92.9	4.5	2	3.2
42	2002	303	5.4	9.2	1.7	93.8	3.3	0.6	5.9
42	2002	304	6.7	8.2	5.1	86.1	6.8	3.6	3.5
42	2002	305	4.3	6.9	2	86.3	0.2	1.2	1.6
42	2002	306	3.4	6.2	0.5	52	0	1.6	5.9
42	2002	307	3.1	4.4	1.7	58.2	0	4.4	2.1
42	2002	308	4.2	6	2.4	66.8	0.1	2.4	4.3
42	2002	309	5.5	7.4	4.2	85.7	2	2.1	0.9
42	2002	310	7.8	10	5.8	97.4	34	3	0.2
42	2002	311	5.9	8.2	3.6	96.6	2.6	0.6	2.3
42	2002	312	4	6.6	1.3	94.3	0.5	0.9	3.9
42	2002	313	2.2	4.4	-0.3	84.6	0	0.7	2.3
42	2002	314	0.8	2.1	-1	68.9	0	2.4	1.7
42	2002	315	0	1	-1.5	62	0.4	3.8	1.8
42	2002	316	2.9	5.1	0.9	80.6	4	3.2	3.4
42	2002	317	1.4	4	-0.7	97.5	11.1	1.1	1.5
42	2002	318	1.9	5.3	-0.8	86.9	2.7	1.6	0.6
42	2002	319	6.5	8.2	5.2	91.7	6.6	2.2	2.1
42	2002	320	6.4	7.5	5.4	93.8	0	2.2	0.7
42	2002	321	5.2	6.1	2.5	94.6	3.5	1	0.5
42	2002	322	2.4	5.3	-0.3	98.1	0.2	0.6	3
42	2002	323	0.2	3.4	-2.3	68.7	0	0.7	3.5
42	2002	324	-2.1	1.2	-4.5	66.5	0	0.8	3.2
42	2002	325	0.5	3	-3.3	70.5	0.7	1.8	2.8
42	2002	326	2.4	3.1	1.1	67.3	2.1	3.6	0.6
42	2002	327	2.6	3.8	1.3	69.5	0.3	2.3	0.3
42	2002	328	3.5	4.9	1.7	67.8	0.5	2	1.1
42	2002	329	4.2	6.2	1.1	94.9	2.6	1.9	1.1
42	2002	330	2.4	4	0	96	0	0.7	1.7
42	2002	331	5.8	7.3	2.9	95.2	0	2.1	1
42	2002	332	5.5	6.6	3.7	81.1	0.2	3.8	1
42	2002	333	4.7	5.7	3.4	67	0	3.2	1
42	2002	334	1.9	3.6	1.1	58.5	0	2	0.6
42	2002	335	1.8	2.7	0.8	65.3	0	4.9	1.3
42	2002	336	3.9	5.6	2.2	65.5	0	4.8	0.4
42	2002	337	5.1	5.8	4.6	77.1	0	2.6	0.8
42	2002	338	4.4	5.1	4	77	0	3.4	0.8
42	2002	339	3.3	4.4	1.4	63	0	1	0.5
42	2002	340	0.4	2	-1.6	68.1	0	0.9	1.6
42	2002	341	-1.6	-0.6	-3.2	63.2	0.1	0.9	1.6
42	2002	342	-2.1	-0.1	-4.7	72.7	0	1	1.2
42	2002	343	-3.5	-1.4	-5.8	81	0	0.9	1.5
42	2002	344	-2.3	0.1	-4.8	75.3	0	1.2	1.3
42	2002	345	-1.1	0.2	-3.3	93.5	0	0.6	0.8
42	2002	346	-2.7	-0.4	-5.9	91.7	0.1	1.1	1.1
42	2002	347	-2.5	-0.3	-6.1	82.2	0	0.7	1.3
42	2002	348	0.1	2	-2.6	85.4	0.1	1.3	0.5
42	2002	349	0.8	1.8	-0.7	69.6	0	2.2	1
42	2002	350	-2.7	-0.7	-4.8	68.1	0.1	1.3	0.9
42	2002	351	-1.6	5.5	-5.9	76.1	1.8	1.5	0.9
42	2002	352	1.9	5.6	-1.3	95.2	0.5	1.7	0.9
42	2002	353	3.5	5.3	-1.2	94.4	1	1.4	0.6
42	2002	354	3.7	5.5	-0.1	98.4	1.7	2.6	0.3
42	2002	355	-1.1	0.7	-4.4	96.9	0.1	0.9	1.4
42	2002	356	-1.6	-1	-3.2	51.7	0	2.6	0.7
42	2002	357	-0.5	0.5	-2.3	56.1	0	4.3	0.8
42	2002	358	1	1.5	0.4	60.8	0	5.8	0.5
42	2002	359	3.3	5.4	0.8	73.2	0.1	3.1	0.9
42	2002	360	6.1	7.1	4.9	88.7	0	2.5	0.8
42	2002	361	4.6	6.3	2.9	76.7	0.7	4.7	0.5
42	2002	362	3.3	4.6	0.9	69	0	2	0.3
42	2002	363	-0.5	1	-2	97.6	1.3	0.3	0.2
42	2002	364	-3.4	-1.9	-5.6	85.7	1.2	1.2	0.3
42	2002	365	-4.8	0.7	-8.4	76.6	1.5	1.7	0.9
